
Info: /OSCI/SystemC: Simulation stopped by user.
sc_stop is encountered
size_pct 10
Latencia pos[9][39]: 1
Latencia pos[9][40]: 1
Latencia pos[9][41]: 1
Latencia pos[9][42]: 1
Latencia pos[9][43]: 1
Latencia pos[9][44]: 1

Latencia média do pacote[0]: 231
Latencia média do pacote[1]: 9
Latencia média do pacote[2]: 115
Latencia média do pacote[3]: 153
Latencia média do pacote[4]: 188
Latencia média do pacote[5]: 214
Latencia média do pacote[6]: 233
Latencia média do pacote[7]: 236
Latencia média do pacote[8]: 212
Latencia média do pacote[9]: 54


Menor Latência: 1
Maior Latência: 301
Latência Média da simulação: 182

Variância do pacote[0]: 6545.92
Desvio padrão do pacote[0]:80.9069

Variância do pacote[1]: 0
Desvio padrão do pacote[1]:0

Variância do pacote[2]: 3033.29
Desvio padrão do pacote[2]:55.0753

Variância do pacote[3]: 4996.12
Desvio padrão do pacote[3]:70.6833

Variância do pacote[4]: 6414
Desvio padrão do pacote[4]:80.0875

Variância do pacote[5]: 6705.6
Desvio padrão do pacote[5]:81.8877

Variância do pacote[6]: 6014.91
Desvio padrão do pacote[6]:77.5558

Variância do pacote[7]: 4887.58
Desvio padrão do pacote[7]:69.9113

Variância do pacote[8]: 7540.69
Desvio padrão do pacote[8]:86.8372

Variância do pacote[9]: 9931.11
Desvio padrão do pacote[9]:99.655

